event_id,event_anchor_at,mention_session,market_event_date,pattern_status,market_data_status,mention_count,channel_count,baseline_active_days,event_active_days,event_max_volume_ratio,event_volume_robust_z,event_peak_return_pct,event_peak_abnormal_return_pct,post_data_status,post_observation_days,post_relative_return_pct,post_max_drawdown_pct,disclosure_status,material_disclosure_observed,news_status,reason_badges
EVT-46A95CC4EA,2026-06-05 21:28:43+09:00,장후,2026-06-08,주의 패턴 관찰,확인,2,2,15,3,8.975857822320368,3.786793991537357,3.2755298651252485,12.35836774070883,15거래일 관찰 완료,15,-0.8206854938487496,-19.454545454545457,관찰 기간 내 공시 확인,True,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 보도자료성 표현 관찰; 중요 공시 후보 제목 관찰
EVT-387375B5E0,2026-06-07 19:55:02+09:00,휴장일,2026-06-08,주의 패턴 관찰,확인,20,5,15,3,84.6084088458961,5.735069094963413,29.97601918465227,39.05885706023585,15거래일 관찰 완료,15,-58.79323051780645,-60.59040590405904,캐시 범위 부족,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 보도자료성 표현 관찰; 캐시 범위 부족
EVT-D42DD6FE1E,2026-06-08 07:02:55+09:00,장전,2026-06-08,주의 패턴 관찰,확인,1,1,15,3,66.91722800623353,9.328002535525261,7.561235356762519,16.644073232346102,15거래일 관찰 완료,15,-37.44289622238429,-41.48514851485149,관찰 기간 내 공시 확인,True,기사 미확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 중요 공시 후보 제목 관찰; 뉴스: 기사 미확인
EVT-699D9C99AC,2026-06-08 10:00:30+09:00,장중,2026-06-08,주의 패턴 관찰,확인,9,3,15,3,134.89523784686,7.037995027576386,29.967948717948723,39.05078659353231,15거래일 관찰 완료,15,-24.435119489100607,-23.427866831072752,관찰 기간 내 공시 미확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 보도자료성 표현 관찰; 관찰 기간 내 공시 미확인
EVT-8FB3191EFF,2026-06-08 10:00:30+09:00,장중,2026-06-08,주의 패턴 관찰,확인,2,1,15,3,26.37490466175145,9.201496170155202,22.34042553191489,27.40905806852556,15거래일 관찰 완료,15,-8.827157871297997,-35.59602649006622,관찰 기간 내 공시 미확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 고점 대비 큰 하락; 보도자료성 표현 관찰; 관찰 기간 내 공시 미확인
EVT-7FBEA411B1,2026-06-08 11:00:33+09:00,장중,2026-06-08,주의 패턴 관찰,확인,8,3,15,3,69.78985439173321,5.334299114669599,33.04761904761904,39.082837875583586,15거래일 관찰 완료,15,-46.28197793275313,-49.82104509663565,캐시 범위 부족,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 캐시 범위 부족
EVT-CA26A445D9,2026-06-08 20:35:54+09:00,장후,2026-06-09,주의 패턴 관찰,확인,3,1,15,3,57.08732444501974,10.225531633486776,11.90108191653787,7.485848043004028,15거래일 관찰 완료,15,-25.100057817672628,-47.51381215469613,관찰 기간 내 공시 미확인,False,기사 미확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 관찰 기간 내 공시 미확인; 뉴스: 기사 미확인
EVT-AA7DC2A2AD,2026-06-08 20:36:42+09:00,장후,2026-06-09,주의 패턴 관찰,확인,8,3,15,3,53.634522848859795,11.539759724721973,30.071599045346066,23.582725575801636,15거래일 관찰 완료,15,-35.033091300931,-43.28828828828829,관찰 기간 내 공시 확인,True,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 보도자료성 표현 관찰; 중요 공시 후보 제목 관찰
EVT-4B342E0574,2026-06-09 10:00:32+09:00,장중,2026-06-09,주의 패턴 관찰,확인,19,3,15,3,63.55737782735623,16.484292824891032,68.84615384615384,64.43091997262,15거래일 관찰 완료,15,-17.594269291817213,-41.23006833712984,관찰 기간 내 공시 확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 보도자료성 표현 관찰; 관찰 기간 내 공시 확인
EVT-96DA069379,2026-06-09 12:00:21+09:00,장중,2026-06-09,주의 패턴 관찰,확인,2,2,15,3,45.79338857483937,11.283962905574848,29.91689750692521,23.726353392989363,15거래일 관찰 완료,15,-14.921138748422601,-20.255863539445627,관찰 기간 내 공시 미확인,False,확인,기준 중앙값 대비 거래량 이상; MAD 기준 거래량 이상치; 코스닥 대비 단기 초과상승; 언급 후 코스닥 대비 하락; 언급 후 고점 대비 큰 하락; 복수 Telegram 채널 언급; 유사 기사 반복 관찰; 보도자료성 표현 관찰; 관찰 기간 내 공시 미확인
